F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,18.75,18.75,0.0,12.5,0.0,6.25,0.0,6.25,6.25,12.5,0.0,0.0,1
0.0,0.0,5.88,0.0,5.88,0.0,0.0,11.76,35.29,11.76,5.88,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,1
11.11,0.0,0.0,0.0,11.11,11.11,5.56,5.56,5.56,16.67,0.0,0.0,0.0,0.0,16.67,5.56,0.0,11.11,0.0,0.0,1
5.56,0.0,5.56,5.56,0.0,0.0,0.0,0.0,16.67,22.22,5.56,0.0,0.0,16.67,0.0,0.0,0.0,22.22,0.0,0.0,1
10.53,5.26,5.26,0.0,0.0,5.26,0.0,5.26,15.79,21.05,0.0,10.53,0.0,0.0,5.26,0.0,0.0,5.26,0.0,10.53,1
5.26,0.0,0.0,0.0,0.0,5.26,0.0,26.32,26.32,5.26,0.0,0.0,0.0,0.0,15.79,0.0,0.0,15.79,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.29,0.0,0.0,4.76,4.76,4.76,0.0,4.76,9.52,9.52,4.76,4.76,0.0,9.52,9.52,0.0,4.76,4.76,0.0,9.52,1
0.0,0.0,4.76,9.52,4.76,0.0,0.0,19.05,23.81,14.29,9.52,4.76,0.0,0.0,4.76,0.0,4.76,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.52,4.76,0.0,0.0,4.76,0.0,4.76,4.76,9.52,14.29,0.0,0.0,4.76,4.76,9.52,0.0,0.0,23.81,4.76,0.0,1
9.52,0.0,0.0,4.76,0.0,4.76,0.0,9.52,9.52,0.0,0.0,0.0,4.76,4.76,9.52,4.76,9.52,19.05,0.0,9.52,1
